Project,Client,Description,Duration
BT,BT,Call to discuss designs,00:40:00
BT,BT,Adding features,01:40:00
BT,BT,Multiple bug fixes,01:10:00
ABC Company,ABC Company,Implement new features,01:45:00
ABC Company,ABC Company,Bug fixes,01:15:00
ABC Company,ABC Company,Respond to emails,00:45:00
BT,BT,Adding features,01:00:00
BT,BT,Standup meeting,00:15:00
Another Company Name,Another Company Name,Call to discuss designs,00:45:00
Another Company Name,Another Company Name,Emails,00:45:00
Another Company Name,Another Company Name,meetings,01:00:00
Another Company Name,Another Company Name,Unit testing,01:30:00